Title,Year,Budget,Score,Metascore,Genre,Genre1,Genre2,Genre3,Vote,Director,Runtime,Revenue,Description
Do Come??o ao Fim,2009, ,6.6,,"Drama, Romance",Drama, Romance,,6537,Aluizio Abranches,94,0.00,"Two brothers develop a very close relationship as they are growing up in an idyllic and happy family. When they are young adults their relationship becomes very intimate, romantic, and sexual."
Do lok tin si,1995, ,7.7,71,"Crime, Drama, Romance",Crime, Drama, Romance,20213,Kar-Wai Wong,99,0.00,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner."
Do the Right Thing,1989, ,7.9,91,"Comedy, Drama",Comedy, Drama,,71120,Spike Lee,120,27550000.00,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
Do You Believe?,2015, ,6.1,22,Drama,Drama,,,6198,Jon Gunn,120,12990000.00,"When a pastor is shaken by the visible faith of a street corner preacher, he is reminded that true belief always requires action. His response ignites a journey that impacts everyone it touches in ways that only God could orchestrate."
DOA: Dead or Alive,2006,30000000.00,4.8,38,"Action, Adventure",Action, Adventure,,41123,Corey Yuen,87,480000.00,"The world's best fighters are invited to DOA, an invitational martial arts contest. There, four female rival fighters will have to work together to uncover the secret that the organizer of the tournament is trying to hide."
Dobermann,1997, ,6.6,,"Action, Crime, Thriller",Action, Crime, Thriller,15534,Jan Kounen,103,0.00,"The charismatic criminal Dobermann, who got his first gun when he was christened, leads a gang of brutal robbers. After a complex and brutal bank robbery, they are being hunted by the Paris...                See full summary?˜??"
Doc Hollywood,1991, ,6.2,56,"Comedy, Drama, Romance",Comedy, Drama, Romance,29527,Michael Caton-Jones,104,54830000.00,A young doctor causes a traffic accident in a small town and is sentenced to work for some days at the town hospital.
Doctor Dolittle,1998,71500000.00,5.4,46,"Comedy, Family, Fantasy",Comedy, Family, Fantasy,84227,Betty Thomas,85,144160000.00,A doctor discovers that he can communicate with animals.
Doctor Dolittle,1967,,6.2,,"Adventure, Comedy, Family",Adventure, Comedy, Family,7278,Richard Fleischer,152,9000000.00,"After the animal communicating veterinarian goes too far for his client??le, he and his friends escape their hometown to sea in search of the Great Pink Sea Snail."
Doctor Strange,2016,165000000.00,7.5,72,"Action, Adventure, Fantasy",Action, Adventure, Fantasy,456589,Scott Derrickson,115,232640000.00,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
Doctor Zhivago,1965,11000000.00,8,69,"Drama, Romance, War",Drama, Romance, War,62532,David Lean,193,111720000.00,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
Dodgeball: A True Underdog Story,2004,30000000.00,6.7,55,"Comedy, Sport",Comedy, Sport,,207765,Rawson Marshall Thurber,92,114330000.00,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.
Dodookdeul,2012, ,6.8,75,"Action, Comedy, Crime",Action, Comedy, Crime,7701,Dong-hoon Choi,135,690000.00,"In order to let things cool down from their latest heist, Popeye and his group of thieves go to Macau on a job. But the mastermind behind this job is none other than Popeye's old partner ...                See full summary?˜??"
Dodsworth,1936, ,8.1,,"Drama, Romance",Drama, Romance,,7040,William Wyler,101,0.00,A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.
Dog Day Afternoon,1975, ,8,86,"Biography, Crime, Drama",Biography, Crime, Drama,212985,Sidney Lumet,125,50000000.00,A man robs a bank to pay for his lover's operation; it turns into a hostage situation and a media circus.
Dog Pound,2010, ,7,57,Drama,Drama,,,9796,Kim Chapiron,91,0.00,"Three juvenile delinquents are sentenced to a correctional facility where they encounter gang violence, death, and harassment from staff and other inmates."
Dog Soldiers,2002, ,6.8,,"Action, Horror, Thriller",Action, Horror, Thriller,49816,Neil Marshall,105,0.00,A routine military exercise turns into a nightmare in the Scotland wilderness.
Do-ga-ni,2011, ,8,,Drama,Drama,,,7502,Dong-hyuk Hwang,125,0.00,"Based on real events, this film depicts the story of a school for the hearing-impaired where young deaf students were sexually assaulted by the faculty members over a long period of time."
Dogfight,1991, ,7.5,,"Comedy, Drama, Romance",Comedy, Drama, Romance,7307,Nancy Savoca,94,390000.00,"Before leaving to fight in Vietnam, a group of teenagers play a game where they try to seduce the ugliest girl they can find."
Doghouse,2009, ,6.1,,"Comedy, Horror, Sci-Fi",Comedy, Horror, Sci-Fi,19841,Jake West,89,0.00,"A group of men, heading to a remote village to help one of their friends get over his divorce, soon discover that all the women have been infected with a virus that makes them man-hating cannibals."
Dogma,1999,10000000.00,7.3,62,"Adventure, Comedy, Drama",Adventure, Comedy, Drama,195023,Kevin Smith,130,30650000.00,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.
Dogville,2003, ,8,60,"Crime, Drama",Crime, Drama,,122043,Lars von Trier,178,1530000.00,"A woman on the run from the mob is reluctantly accepted in a small Colorado town. In exchange, she agrees to work for them. As a search visits the town, she finds out that their support has a price. Yet her dangerous secret is never far away."
Dolan's Cadillac,2009, ,5.7,,"Crime, Thriller",Crime, Thriller,,6372,Jeff Beesley,89,0.00,A young man attempts to seek to avenge his wife's death after she is murdered by a Las Vegas mobster.
Dolls,2002, ,7.7,71,"Drama, Romance",Drama, Romance,,14630,Takeshi Kitano,114,0.00,Three stories of never-ending love.
Dolls,1987, ,6.4,,"Fantasy, Horror",Fantasy, Horror,,7747,Stuart Gordon,77,0.00,A group of people stop by a mansion during a storm and discover two magical toy makers and their haunted collection of dolls.
Dolores Claiborne,1995, ,7.4,62,"Crime, Drama, Mystery",Crime, Drama, Mystery,33872,Taylor Hackford,132,24360000.00,A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.
Dolphin Tale,2011,37000000.00,6.9,64,"Drama, Family",Drama, Family,,20134,Charles Martin Smith,113,72290000.00,A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.
Dolphin Tale 2,2014,36000000.00,6.4,58,"Drama, Family",Drama, Family,,7240,Charles Martin Smith,107,42020000.00,The team of people who saved Winter's life reassemble in the wake of her surrogate mother's passing in order to find her a companion so she can remain at the Clearwater Marine Hospital.
Dom Hemingway,2013, ,6.2,55,"Comedy, Crime, Drama",Comedy, Crime, Drama,23935,Richard Shepard,93,520000.00,"After spending 12 years in prison for keeping his mouth shut, notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed."
Dom za vesanje,1988, ,8.3,,"Comedy, Crime, Drama",Comedy, Crime, Drama,21502,Emir Kusturica,142,280000.00,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
Domestic Disturbance,2001,53000000.00,5.5,29,"Crime, Mystery, Thriller",Crime, Mystery, Thriller,22912,Harold Becker,89,45250000.00,"When Danny witnesses his stepfather Rick murder a man, Danny's father Frank has to protect his son from the greatest danger."
Dominion: Prequel to the Exorcist,2005, ,5.3,55,"Drama, Horror, Thriller",Drama, Horror, Thriller,9265,Paul Schrader,117,250000.00,"Years before Father Lankester Merrin helped save Regan MacNeil's soul, he first encounters the demon Pazuzu in East Africa. Merrin's initial battle with Pazuzu leads to the rediscovery of his faith."
Domino,2005,50000000.00,6,36,"Action, Biography, Crime",Action, Biography, Crime,61569,Tony Scott,127,10170000.00,A recounting of Domino Harvey's life story. The daughter of actor Laurence Harvey turned away from her career as a Ford model to become a bounty hunter.
Don,2006, ,7.2,,"Action, Crime, Thriller",Action, Crime, Thriller,30776,Farhan Akhtar,171,800000.00,"A simple man, Vijay, is recruited by a police officer to masquerade as Don, the leader of an international gang of smugglers. But things go wrong when the officer is killed and Vijay is left to fend for himself."
Don,1978, ,7.8,,"Action, Crime, Thriller",Action, Crime, Thriller,9429,Chandra Barot,175,0.00,"Don, a wanted criminal, dies in a police chase. DSP D'Silva is the only one who knows about his death, and to get hold of the gang he trains Don-lookalike Vijay. But Vijay faces danger from the police and from within the gang."
Don 2,2011, ,7.1,49,"Action, Crime, Thriller",Action, Crime, Thriller,45037,Farhan Akhtar,148,3680000.00,"An international gangster turns himself in, then dramatically escapes - only to face treachery and betrayal."
Don Jon,2013, ,6.6,66,"Comedy, Drama, Romance",Comedy, Drama, Romance,211765,Joseph Gordon-Levitt,90,24480000.00,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love."
Don Juan DeMarco,1994,25000000.00,6.7,63,"Comedy, Drama, Romance",Comedy, Drama, Romance,44900,Jeremy Leven,97,22150000.00,"A psychiatrist must cure a young patient that presents himself as Don Juan, the greatest lover in the world."
Donkey Punch,2008, ,5.2,43,"Crime, Drama, Horror",Crime, Drama, Horror,10053,Oliver Blackburn,99,20000.00,Things go drastically wrong for a group of British holidaymakers in Spain.
Donnie Brasco,1997,35000000.00,7.8,76,"Biography, Crime, Drama",Biography, Crime, Drama,249864,Mike Newell,127,41910000.00,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
Donnie Darko,2001, ,8.1,88,"Drama, Sci-Fi, Thriller",Drama, Sci-Fi, Thriller,678546,Richard Kelly,113,1480000.00,"A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident."
Donovan's Reef,1963, ,6.9,,"Adventure, Comedy, Romance",Adventure, Comedy, Romance,6841,John Ford,109,0.00,"Comedy subtly dealing with moral issues such as racial bigotry, corporate greed, American belief of societal superiority and hypocrisy."
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996, ,6.6,,"Comedy, Crime",Comedy, Crime,,43498,Paris Barclay,89,20110000.00,"""Don't Be a Menace to South Central While Drinking your Juice in the Hood"" is a parody of several U.S. films about being in the 'Hood', for instance ""Boyz n the Hood"", ""South Central"", ""...                See full summary?˜??"
Don't Be Afraid of the Dark,2010,25000000.00,5.6,56,"Fantasy, Horror, Thriller",Fantasy, Horror, Thriller,43862,Troy Nixey,99,24040000.00,A young girl sent to live with her father and his new girlfriend believes that she has released creatures from a sealed ash pit in the basement of her new home.
Don't Breathe,2016, ,7.1,71,"Crime, Horror, Thriller",Crime, Horror, Thriller,173564,Fede Alvarez,88,89220000.00,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
Don't Come Knocking,2005, ,6.7,55,"Drama, Music",Drama, Music,,6848,Wim Wenders,122,440000.00,"An aging cowboy movie star deserts a film set and tries to reconnect with his mother, whom he hasn't seen in thirty years, only to learn that he has a child he never knew about."
Don't Hang Up,2016, ,5.6,,"Horror, Thriller",Horror, Thriller,,10051,Damien Mac??,83,0.00,An evening of some drunken prank calls becomes a nightmare for a pair of teenagers when a mysterious stranger turns their own game against them...with deadly consequences.
Don't Knock Twice,2016, ,5.1,45,Horror,Horror,,,9537,Caradog W. James,93,0.00,A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.
Don't Look Now,1973, ,7.3,,"Drama, Horror, Thriller",Drama, Horror, Thriller,40789,Nicolas Roeg,110,0.00,"A married couple grieving the recent death of their young daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond."
Don't Move,2004, ,7.1,59,"Drama, Romance",Drama, Romance,,7273,Sergio Castellitto,125,0.00,A destitute woman (Cruz) becomes involved with an upper-crust physician (Castellitto).
Don't Say a Word,2001,50000000.00,6.3,38,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,44785,Gary Fleder,113,55000000.00,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret..."
Don't Tell Mom the Babysitter's Dead,1991, ,6.1,35,Comedy,Comedy,,,24269,Stephen Herek,102,25200000.00,Five siblings are left alone all summer when their mom leaves town and the evil babysitter bites the dust.
Don't Think Twice,2016, ,6.7,83,"Comedy, Drama",Comedy, Drama,,14430,Mike Birbiglia,92,4420000.00,"When a member of a popular New York City improv troupe gets a huge break, the rest of the group - all best friends - start to realize that not everyone is going to make it after all."
"Don't Worry, He Won't Get Far on Foot",2018, ,6.9,67,"Biography, Comedy, Drama",Biography, Comedy, Drama,6807,Gus Van Sant,114,1440000.00,"On the rocky path to sobriety after a life-changing accident, John Callahan discovers the healing power of art, willing his injured hands into drawing hilarious, often controversial cartoons, which bring him a new lease on life."
Dookudu,2011, ,7.5,,"Action, Comedy",Action, Comedy,,11419,Sreenu Vaitla,170,1560000.00,"Ajay, (Mahesh Babu) an undercover cop, is assigned to catch a dangerous mafia don with whom he has a personal score to settle."
Doom,2005,70000000.00,5.2,34,"Action, Adventure, Horror",Action, Adventure, Horror,97219,Andrzej Bartkowiak,105,28030000.00,Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.
Doomsday,2008,33000000.00,6,51,"Action, Sci-Fi, Thriller",Action, Sci-Fi, Thriller,67460,Neil Marshall,108,10960000.00,A futuristic action thriller where a team of people work to prevent a disaster threatening the future of the human race.
Dope,2015, ,7.2,72,"Comedy, Crime, Drama",Comedy, Crime, Drama,74630,Rick Famuyiwa,103,17470000.00,"Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure."
Doragon b??ru Z: Moetsukiro!! Nessen ressen ch??-gekisen,1993, ,7.5,,"Animation, Action, Sci-Fi",Animation, Action, Sci-Fi,7915,Shigeyasu Yamauchi,72,0.00,Vegeta is lured to the planet New Vegeta by a group of Saiyan survivors in hopes that he will be the king of their new planet. But when he finds that they have ulterior motives of universal...                See full summary?˜??
Doragon b??ru Z: Ry??ken bakuhatsu!! Gok?? ga yaraneba dare ga yaru,1995, ,7.6,,"Animation, Action, Sci-Fi",Animation, Action, Sci-Fi,6397,Mitsuo Hashimoto,52,0.00,"A mysterious being named Hoy arrives on Earth and asks the Z Warriors to use the dragon balls to help him release Tapion. Tapion, an ancient warrior imprisoned in a music box, and Hoy needs...                See full summary?˜??"
Dorian Gray,2009, ,6.3,,"Drama, Fantasy, Thriller",Drama, Fantasy, Thriller,56739,Oliver Parker,112,0.00,"A corrupt young man somehow keeps his youthful beauty eternally, but a special painting gradually reveals his inner ugliness to all."
Dorm Daze,2003, ,4.6,,"Comedy, Crime, Mystery",Comedy, Crime, Mystery,7265,David Hillenbrand,96,60000.00,Set during a crazy afternoon in the lives of a dozen college students at a co-ed dorm that starts with the arrival of two very different women with the same name of Dominique.
Dostana,2008, ,6.5,,"Comedy, Drama, Romance",Comedy, Drama, Romance,12381,Tarun Mansukhani,145,1240000.00,"Two straight guys pretend to be gay in order to secure a Miami apartment. When both of them fall for their roommate Neha, hilarity ensues as they strive to convince one and all that they're gay whilst secretly trying to win her heart."
Dot the I,2003, ,6.8,39,"Drama, Romance, Thriller",Drama, Romance, Thriller,7880,Matthew Parkhill,92,310000.00,Young lovers in London are wrapped up in a love triangle that may not be exactly what it seems.
Dou fo sin,2007, ,6.8,38,"Action, Crime, Thriller",Action, Crime, Thriller,11535,Wilson Yip,88,0.00,"A hot-headed inspector takes on a small but powerful Vietnamese-Chinese gang, after a series of crimes and murder attempts committed and putting an undercover cop and his girlfriend in great danger."
Doua lozuri,2016, ,7.9,,Comedy,Comedy,,,9841,Paul Negoescu,86,0.00,"Three men from a provincial town are in urgent need of money and decide to buy a lottery ticket. They win the lottery, but soon after their ticket gets stolen."
Double Dragon,1994, ,3.7,,"Action, Adventure, Comedy",Action, Adventure, Comedy,9676,James Yukich,96,2340000.00,"Two brothers have half of a powerful ancient Chinese talisman. An evil gang leader has the other half, and determines to get the brothers' half and have a complete medallion so he can gain absolute power."
Double Impact,1991,16000000.00,5.5,,"Action, Crime",Action, Crime,,33809,Sheldon Lettich,110,30100000.00,Twin brothers are separated when their parents are murdered but 25 years later they re-unite in order to avenge their parents' death.
Double Indemnity,1944, ,8.3,95,"Crime, Drama, FilmNoir",Crime, Drama, FilmNoir,121557,Billy Wilder,107,5720000.00,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
Double Jeopardy,1999,40000000.00,6.4,40,"Crime, Drama, Mystery",Crime, Drama, Mystery,63931,Bruce Beresford,105,116740000.00,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him."
Double Take,2001,24000000.00,5.4,25,"Action, Comedy, Crime",Action, Comedy, Crime,7620,George Gallo,84,20000.00,"A man on the run takes another man's passport, only to find himself stuck with the identity of a street hustler."
Double Team,1997, ,4.7,,"Action, Comedy, Sci-Fi",Action, Comedy, Sci-Fi,28349,Hark Tsui,93,11440000.00,An international spy teams up with an arms dealer to escape from a penal colony and rescue his family from a terrorist.
Doubt,2008,20000000.00,7.5,68,"Drama, Mystery",Drama, Mystery,,110969,John Patrick Shanley,104,33420000.00,A Catholic school principal questions a priest's ambiguous relationship with a troubled young student.
Down and Out in Beverly Hills,1986, ,6.2,82,Comedy,Comedy,,,14145,Paul Mazursky,103,62130000.00,A rich but troubled family find their lives altered by the arrival of a vagrant who tries to drown himself in their swimming pool.
Down by Law,1986, ,7.8,75,"Comedy, Crime, Drama",Comedy, Crime, Drama,42033,Jim Jarmusch,107,1440000.00,"Two innocent people are arrested. An interesting third person, with broken English, joins them in their cell. On his idea, they decide to escape from the prison. Their journey is the rest of the movie."
Down in the Valley,2005, ,6.4,65,"Drama, Romance, Thriller",Drama, Romance, Thriller,17260,David Jacobson,108,570000.00,"Set in the present-day San Fernando Valley, the project revolves around a delusional man who believes he's a cowboy and the relationship that he starts with a rebellious young woman."
Down Periscope,1996, ,6.1,39,Comedy,Comedy,,,18867,David S. Ward,92,25790000.00,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days. With a crew that consists only of weird guys (and a gal), he's ...                See full summary?˜??"
Down to Earth,2001,30000000.00,5.4,32,"Comedy, Fantasy",Comedy, Fantasy,,20310,Chris Weitz,87,64190000.00,"After dying before his time, an aspiring black comic gets a second shot at life - by being placed in the body of a wealthy white businessman."
Down to You,2000,9000000.00,4.9,13,"Comedy, Drama, Romance",Comedy, Drama, Romance,13321,Kris Isacsson,91,20040000.00,A young man wins and loses the first serious love of his life. Al Connelly falls in love with the girl of his dreams. After the summer she breaks up with him. As he tries to recover Al goes to desperate measures.
Down with Love,2003, ,6.3,52,"Comedy, Romance",Comedy, Romance,,36666,Peyton Reed,101,20300000.00,"In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author."
Downfall,2004, ,8.2,82,"Biography, Drama, History",Biography, Drama, History,294286,Oliver Hirschbiegel,156,5510000.00,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
Downsizing,2017,68000000.00,5.7,63,"Drama, Sci-Fi",Drama, Sci-Fi,,63740,Alexander Payne,135,24450000.00,"A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor."
Dr. Dolittle 2,2001,72000000.00,4.7,49,"Comedy, Family, Fantasy",Comedy, Family, Fantasy,38121,Steve Carr,87,112950000.00,Dolittle must save a forest and a bear's life.
Dr. Jekyll and Mr. Hyde,1931, ,7.7,,"Horror, Sci-Fi",Horror, Sci-Fi,,11028,Rouben Mamoulian,98,0.00,Dr. Jekyll faces horrible consequences when he lets his dark side run wild with a potion that transforms him into the animalistic Mr. Hyde.
Dr. Jekyll and Mr. Hyde,1941, ,6.9,,"Horror, Sci-Fi",Horror, Sci-Fi,,7410,Victor Fleming,113,0.00,Dr. Jekyll allows his dark side to run wild when he drinks a potion that turns him into the evil Mr. Hyde.
"Dr. Mabuse, der Spieler",1922, ,7.9,,"Crime, Mystery, Thriller",Crime, Mystery, Thriller,6247,Fritz Lang,242,0.00,Arch-criminal Dr. Mabuse sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him.
Dr. No,1962, ,7.3,78,"Action, Adventure, Thriller",Action, Adventure, Thriller,130430,Terence Young,110,16070000.00,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964, ,8.4,96,Comedy,Comedy,,,401641,Stanley Kubrick,95,280000.00,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
Dr. T & the Women,2000, ,4.6,64,"Comedy, Drama, Romance",Comedy, Drama, Romance,16618,Robert Altman,122,13110000.00,A wealthy gynecologist's ideal life is thrown into turmoil when the women closest to him begin to affect his life in unexpecting ways.
Dracula,1992, ,7.5,57,Horror,Horror,,,167189,Francis Ford Coppola,128,82520000.00,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fianc??e Mina Murray and inflict havoc in the foreign land.
Dracula,1931, ,7.6,,"Fantasy, Horror",Fantasy, Horror,,39720,Tod Browning,75,0.00,The ancient vampire Count Dracula arrives in England and begins to prey upon the virtuous young Mina.
Dracula,1958, ,7.4,,Horror,Horror,,,18068,Terence Fisher,82,0.00,Jonathan Harker begets the ire of Count Dracula after he accepts a job at the vampire's castle under false pretenses.
Dracula,1979, ,6.5,,"Horror, Romance",Horror, Romance,,7912,John Badham,109,20160000.00,"In 1913, the charming, seductive and sinister vampire Count Dracula travels to England in search of an immortal bride."
Dracula 2001,2000, ,4.9,26,"Action, Fantasy, Horror",Action, Fantasy, Horror,29755,Patrick Lussier,99,33020000.00,"A group of thieves breaks into a chamber expecting to find paintings, but instead they release the count himself, who travels to New Orleans to find his nemesis' daughter, Mary Van Helsing."
Dracula Untold,2014,70000000.00,6.3,40,"Action, Drama, Fantasy",Action, Drama, Fantasy,160360,Gary Shore,92,56280000.00,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom."
Dracula: Dead and Loving It,1995, ,5.8,,"Comedy, Fantasy, Horror",Comedy, Fantasy, Horror,34625,Mel Brooks,88,10770000.00,Mel Brooks' parody of the classic vampire story and its famous film adaptations.
Dracula: Prince of Darkness,1966, ,6.8,,Horror,Horror,,,7748,Terence Fisher,90,800000.00,"Dracula is resurrected, preying on four unsuspecting visitors to his castle."
Draft Day,2014,25000000.00,6.8,54,"Drama, Sport",Drama, Sport,,46852,Ivan Reitman,110,28830000.00,"At the NFL Draft, General Manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams."
Drag Me to Hell,2009,30000000.00,6.6,83,"Horror, Thriller",Horror, Thriller,,173656,Sam Raimi,99,42100000.00,"A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point."
Dragnet,1987, ,5.9,62,"Comedy, Crime",Comedy, Crime,,28673,Tom Mankiewicz,106,57390000.00,"The equally-straight-laced and ""by the book"" nephew of Joe Friday must work with his more laid-back partner to solve a mystery."
Dragon Ball Z: Doragon b??ru Z - Fukkatsu no 'F',2015, ,7.4,,"Animation, Action, Adventure",Animation, Action, Adventure,16557,Tadayoshi Yamamuro,93,8010000.00,"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans."
Dragon Ball Z: Doragon b??ru Z - Kami to Kami,2013, ,7.2,,"Animation, Action, Comedy",Animation, Action, Comedy,22723,Masahiro Hosoda,85,2550000.00,"The Z-Fighters must contend with Lord Beerus, the God of Destruction, but only a God can fight a God, and none of them are Gods. However with the creation of the Super Saiyan God, will the Z-Fighters be able to defeat Lord Beerus?"
Dragon Ball Z: Fukkatsu no Fusion!! Gokuu to Vegeta,1995, ,7.8,,"Animation, Action, Sci-Fi",Animation, Action, Sci-Fi,7904,Shigeyasu Yamauchi,51,0.00,The universe is thrown into dimensional chaos as the dead come back to life. Now Goku and Vegeta must track down the cause of this uproar.
Dragon Wars,2007, ,3.6,33,"Action, Drama, Fantasy",Action, Drama, Fantasy,22513,Hyung-rae Shim,90,10980000.00,"Based on the Korean legend, unknown creatures will return and devastate the planet. Reporter Ethan Kendrick is called in to investigate the matter, and he arrives at the conclusion that a ...                See full summary?˜??"
Dragon: The Bruce Lee Story,1993, ,7,,"Action, Biography, Drama",Action, Biography, Drama,24640,Rob Cohen,119,35110000.00,A fictionalized account of the life of the martial arts superstar.
Dragonball Evolution,2009,30000000.00,2.6,45,"Action, Adventure, Fantasy",Action, Adventure, Fantasy,64143,James Wong,85,9350000.00,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power."
Dragonfly,2002,60000000.00,6.1,25,"Drama, Fantasy, Mystery",Drama, Fantasy, Mystery,34281,Tom Shadyac,104,30060000.00,A grieving doctor is being contacted by his late wife through his patients' near death experiences.
DragonHeart,1996,57000000.00,6.4,,"Action, Adventure, Fantasy",Action, Adventure, Fantasy,84810,Rob Cohen,103,51370000.00,The last dragon and a disillusioned dragonslaying knight must cooperate to stop an evil king who was given partial immortality.
Dragonslayer,1981,18000000.00,6.7,68,"Action, Adventure, Fantasy",Action, Adventure, Fantasy,12773,Matthew Robbins,108,14110000.00,A young wizarding apprentice is sent to kill a dragon which has been devouring girls from a nearby kingdom.
Dread,2009, ,5.7,,"Drama, Horror, Thriller",Drama, Horror, Thriller,11050,Anthony DiBlasi,108,0.00,"Three college students set out to document what other people dread the most. However, one of the three turns out to secretly be a sadistic psychopath who uses this knowledge to gruesomely torture the subjects."
Dream House,2011,50000000.00,6,35,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,57953,Jim Sheridan,84,21280000.00,"Soon after moving into their seemingly idyllic new home, a family learns of a brutal crime committed against former residents of the dwelling."
Dreamcatcher,2003,68000000.00,5.5,35,"Drama, Horror, Sci-Fi",Drama, Horror, Sci-Fi,83245,Lawrence Kasdan,136,33720000.00,Friends on a camping trip discover that the town they're vacationing in is being plagued in an unusual fashion by parasitic aliens from outer space.
Dreamer: Inspired by a True Story,2005,32000000.00,6.9,59,"Drama, Family, Sport",Drama, Family, Sport,11128,John Gatins,106,32700000.00,"Cale Crane catalyzes the rescue and rehabilitation of Sonador, a race horse with a broken leg."
Dreamgirls,2006,75000000.00,6.5,76,"Drama, Music, Musical",Drama, Music, Musical,62974,Bill Condon,130,103370000.00,"A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way."
Dreamscape,1984, ,6.3,,"Action, Adventure, Horror",Action, Adventure, Horror,12139,Joseph Ruben,99,11480000.00,A young psychic on the run from himself is recruited by a government agency experimenting with the use of the dream-sharing technology and is given the inverse task of planting an idea into the mind of the U.S. president.
Dredd,2012,45000000.00,7.1,60,"Action, Crime, Sci-Fi",Action, Crime, Sci-Fi,229301,Pete Travis,95,13410000.00,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO."
Dressed to Kill,1980, ,7.1,74,"Mystery, Thriller",Mystery, Thriller,,29179,Brian De Palma,104,31900000.00,"A mysterious blonde woman kills one of a psychiatrist's patients, and then goes after the high-class call girl who witnessed the murder."
Drillbit Taylor,2008,40000000.00,5.7,41,"Comedy, Drama",Comedy, Drama,,54426,Steven Brill,110,32850000.00,Three kids hire a low-budget bodyguard to protect them from the playground bully.
Drinking Buddies,2013, ,6.1,71,"Comedy, Drama, Romance",Comedy, Drama, Romance,52508,Joe Swanberg,90,340000.00,Luke and Kate are coworkers at a brewery who spend their nights drinking and flirting heavily. One weekend away together with their significant others proves who really belongs together and who doesn't.
