NewBudget,Score,Metascore,Genre,Genre1,Genre2,Genre3,Director,Revenue
35000000.0,6.5,,"Comedy, Crime, Thriller",Comedy, Crime, Thriller,John Herzfeld,11110000.0
100000000.0,5.9,38.0,"Action, Crime, Thriller",Action, Crime, Thriller,John Singleton,127150000.0
20000000.0,6.7,55.0,"Action, Comedy, Crime",Action, Comedy, Crime,Baltasar Korm??kur,75610000.0
35000000.0,6.9,,"Comedy, Drama, Romance",Comedy, Drama, Romance,Abhishek Varman,2220000.0
35000000.0,6.4,,"Comedy, Romance",Comedy, Romance,,David Moreau,0.0
13000000.0,7.2,,"Adventure, Drama, Family",Adventure, Drama, Family,Richard Fleischer,28200000.0
25000000.0,5.9,33.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,Risa Bramon Garcia,6850000.0
150000000.0,8.3,82.0,"Adventure, Sci-Fi",Adventure, Sci-Fi,,Stanley Kubrick,56950000.0
99000000.0,5.9,34.0,Comedy,Comedy,,,Jon Lucas,25680000.0
35000000.0,7.7,70.0,"Crime, Drama, Thriller",Crime, Drama, Thriller,Alejandro G. I?¤??rritu,16250000.0
25000000.0,7.2,69.0,"Action, Comedy, Crime",Action, Comedy, Crime,Phil Lord,138450000.0
2500000.0,7.0,71.0,"Action, Comedy, Crime",Action, Comedy, Crime,Phil Lord,191720000.0
34000000.0,7.4,85.0,"Biography, Comedy, Drama",Biography, Comedy, Drama,Michael Winterbottom,1130000.0
80000000.0,5.7,37.0,"Action, Sci-Fi, Thriller",Action, Sci-Fi, Thriller,Brian Smrz,0.0
17000000.0,7.7,67.0,Drama,Drama,,,Spike Lee,13060000.0
35000000.0,6.1,47.0,"Comedy, Romance",Comedy, Romance,,Anne Fletcher,76810000.0
11000000.0,6.0,46.0,"Comedy, Drama",Comedy, Drama,,Betty Thomas,37170000.0
31000000.0,7.6,73.0,"Drama, Horror, Sci-Fi",Drama, Horror, Sci-Fi,Danny Boyle,45060000.0
35000000.0,7.0,78.0,"Drama, Horror, Sci-Fi",Drama, Horror, Sci-Fi,Juan Carlos Fresnadillo,28640000.0
4000000.0,6.2,40.0,"Action, Drama, Thriller",Action, Drama, Thriller,McG,30700000.0
50000000.0,5.9,61.0,"Comedy, Drama, Family",Comedy, Drama, Family,Leonard Nimoy,167780000.0
5000000.0,5.3,51.0,"Comedy, Drama, Family",Comedy, Drama, Family,Emile Ardolino,71610000.0
50000000.0,5.2,36.0,"Action, Comedy, Family",Action, Comedy, Family,Jon Turteltaub,29000000.0
10000000.0,2.8,44.0,"Action, Adventure, Comedy",Action, Adventure, Comedy,Sean McNamara,380000.0
64000000.0,7.9,71.0,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,Robert Altman,0.0
11930000.0,7.6,,"Drama, Thriller, Western",Drama, Thriller, Western,Delmer Daves,0.0
8500000.0,6.6,53.0,"Horror, Thriller",Horror, Thriller,,David Slade,39570000.0
10000000.0,6.1,49.0,"Action, Comedy, Crime",Action, Comedy, Crime,Ruben Fleischer,37050000.0
30000000.0,6.2,48.0,"Action, Fantasy, War",Action, Fantasy, War,Noam Murro,106580000.0
4000000.0,8.1,72.0,"Crime, Drama, Romance",Crime, Drama, Romance,Ki-duk Kim,240000.0
30000000.0,5.8,,"Crime, Thriller",Crime, Thriller,,Noel Clarke,0.0
23000000.0,5.6,53.0,"Comedy, Romance",Comedy, Romance,,Michael Lehmann,37950000.0
15000000.0,4.4,,"Mystery, Sci-Fi, Thriller",Mystery, Sci-Fi, Thriller,Matt Osterman,0.0
5000000.0,7.6,,"Comedy, Musical, Romance",Comedy, Musical, Romance,Lloyd Bacon,2300000.0
53000000.0,5.8,47.0,"Crime, Drama",Crime, Drama,,Malcolm Venville,0.0
8900000.0,7.1,94.0,"Drama, Romance",Drama, Romance,,Andrew Haigh,4250000.0
15000000.0,5.6,52.0,"Adventure, Drama, Horror",Adventure, Drama, Horror,Johannes Roberts,44310000.0
20000000.0,6.3,28.0,"Action, Adventure, Drama",Action, Adventure, Drama,Carl Rinsch,38360000.0
5000000.0,6.9,71.0,"Action, Comedy, Crime",Action, Comedy, Crime,Walter Hill,78870000.0
700000.0,7.7,,"Animation, Drama, Romance",Animation, Drama, Romance,Makoto Shinkai,0.0
28000000.0,5.6,31.0,"Action, Drama, War",Action, Drama, War,Renny Harlin,20000.0
11000000.0,7.1,52.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,Victor Levin,120000.0
30000000.0,7.7,72.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,Jonathan Levine,35010000.0
12000000.0,7.7,76.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,Marc Webb,32390000.0
25000000.0,6.1,,"Action, Crime, Drama",Action, Crime, Drama,Ernie Barbarash,0.0
55000000.0,6.2,36.0,"Action, Drama, History",Action, Drama, History,Toa Fraser,0.0
14800000.0,6.1,28.0,"Horror, Mystery, Thriller",Horror, Mystery, Thriller,M?ns M?rlind,0.0
10000000.0,5.6,53.0,"Drama, Romance",Drama, Romance,,Hannah Fidell,0.0
15000000.0,6.1,,"Action, Sci-Fi, Thriller",Action, Sci-Fi, Thriller,A.R. Murugadoss,0.0
19500000.0,7.2,83.0,"Action, Drama, Thriller",Action, Drama, Thriller,Yann Demange,1270000.0
74000000.0,7.1,64.0,"Comedy, Crime, Musical",Comedy, Crime, Musical,Fran??ois Ozon,3080000.0
20000000.0,7.1,77.0,"Drama, Music",Drama, Music,,Curtis Hanson,116720000.0
11000000.0,5.9,17.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,Jon Avnet,16930000.0
40000000.0,6.5,19.0,"Mystery, Thriller",Mystery, Thriller,,Joel Schumacher,36660000.0
1000000.0,4.8,43.0,"Drama, Music, Romance",Drama, Music, Romance,Michael Winterbottom,50000.0
35000000.0,6.8,58.0,Comedy,Comedy,,,Colin Higgins,103290000.0
10000000.0,7.3,,"Comedy, Drama",Comedy, Drama,,Jan Kounen,0.0
6000000.0,5.5,42.0,"Adventure, Comedy",Adventure, Comedy,,Jon Lucas,72110000.0
